plu;kd_brg;tipe;nm_brg;mobil ;nm_grup;kms1;isi;h_beli;h_jual1;foto;merk
1003047;TI;YA        ;GENUINE-R OIL PLUS;;OMB                 ;PCS       ;1;65000;80000;C:\USERS\KASIR\DOWNLOADS\GENUINE-R OIL PLUS.PNG;ASTRA INTERNATONAL                                                                                  
1003048;UDL;YA;BEARING ZA-TK70-1A1 ENCS 301;;LAHER;PCS;1;240000;425000;;NSK
1003049;UDL;YA;BEARING HR30213J;;LAHER;PCS;1;240000;450000;;NSK
1003050;UGK;YA;SOKBEKER PS190/220FR;;SOKBEKER;PCS;1;289000;450000;;IKYBI
1003051;UKI;YA;SOKBEKER 17-67001200-A;;SOKBEKER;PCS;1;215000;350000;;ISUZU
1003052;UKI;YA        ;SOKBEKER BLK NKR ALL 17-67201200-A;;SOKBEKER            ;PCS       ;1;215000;350000;;ISUZU                                                                                               
1003053;UKI;YA;SOKBEKER 18-97695430-A;;SOKBEKER;PCS;1;215000;350000;;ISUZU
1003054;UKK;YA;BEARING MB161132W/30211;;LAHER;PCS;1;200000;350000;;WTB
1003055;UL;YA;REVOL 2T;;OMB;PCS;1;20000;35000;;PETROASIA
1003056;UL;YA;BEARING MR 385717;;LAHER;PCS;1;20000;60000;;NKN
1003057;ULL;YA;BEARING HR 32212 J 22-40;;LAHER;PCS;1;200000;380000;;NSK
1003058;KGI;YA        ;BEARING 28985/20;;LAHER               ;PCS       ;1;180000;350000;;KOYO                                                                                                
1003059;LANA;YA;REXI CAR CHARGER ;;CESAN MOBIL;PCS;1;25870;65000;;REXI
1003060;LANA;YA;AUTO LIGHTER ;;RUMAH CESAN ;PCS;1;13000;35000;;STANLEY
1003061;EI;YA        ;"C/M KIT 5/8"" DUTRO/DINA 210-46691";;MASTER KOPLING ATAS ;PCS       ;1;75000;150000;;SEIKEN                                                                                              
1003062;TI;YA        ;C/M KIT 5/8'' PS 190 ME 633419;;MASTER KOPLING ATAS ;PCS       ;1;65000;125000;;UTM                                                                                                 
1003063;IR;YA        ;C/M KIT NKR 55 5-87831403-1;;MASTER KOPLING ATAS ;PCS       ;1;52000;105000;;ISUZU                                                                                               
1003064;UT;YA;MASTER KOPILING C/M;;MASTER KOPLING ATAS;PCS;1;26000;125000;;SEIKEN
1003065;TI;YA        ;C/M KIT DUTRO BESI 210-44191;;MASTER KOPLING ATAS ;PCS       ;1;65000;125000;;SEIKEN                                                                                              
1003066;IT;YA        ;C/M  KIT DUTRO 04311-25020;;MASTER KOPLING ATAS ;PCS       ;1;56000;95000;;TOYOTA                                                                                              
1003067;IL  ;YA        ;C/M KIT NKR 71 5-87831597-0;;MASTER KOPLING ATAS ;PCS       ;1;50000;115000;;ISUZU                                                                                               
1003068;DI;YA        ;C/M KIT L 300 DISEL 210-31152;;MASTER KOPLING ATAS ;PCS       ;1;45000;95000;;SEIKEN                                                                                              
1003069;RI;YA        ;C/M KIT PS 125 210-32672;;MASTER KOPLING ATAS ;PCS       ;1;35000;95000;;SEIKEN                                                                                              
1003070;IA;YA        ;"C/M KIT CANTER 125 7/8"" ME 509766";;MASTER KOPLING ATAS ;PCS       ;1;58800;125000;;UTM                                                                                                 
1003071;TK;YA        ;C/M KIT CANTER PS 135 B-MKC-S03;;MASTER KOPLING ATAS ;PCS       ;1;61000;95000;;BIRKENS                                                                                             
1003072;TL;YA        ;C/M KIT CANTER PS 135 ME043537;;MASTER KOPLING ATAS ;PCS       ;1;60000;95000;;MITSHUBISI TIGA BERLIAN                                                                             
1003073;TK;YA        ;C/M KIT L 300 PS 100/120 B-MKC-S01;;MASTER KOPLING ATAS ;PCS       ;1;61000;95000;;BIRKENS                                                                                             
1003074;EI;YA        ;C/M 3/4'';;MASTER KOPLING ATAS ;PCS       ;1;75000;150000;;SEIKEN                                                                                              
1003075;KIL;YA        ;C/M 3/4'' HINO 210-80833;;MASTER KOPLING ATAS ;PCS       ;1;150000;295000;;SEIKEN                                                                                              
1003076;AE;YA        ;C/M KIT PS 220 B-MKC-S10;;MASTER KOPLING ATAS ;PCS       ;1;97000;130000;;BIRKENS                                                                                             
1003077;GL;YA;MASTER KOPLING C/M;;MASTER KOPLING ATAS;PCS;1;65000;125000;;MITSHUBISI
1003078;TI;YA        ;C/M KIT FUSO 6D22 ME709142;;MASTER KOPLING ATAS ;PCS       ;1;65000;135000;;FUSO                                                                                                
1003079;TI;YA        ;C/M KIT 13/16'' FUSO 210-31241;;MASTER KOPLING ATAS ;PCS       ;1;65000;125000;;SEIKEN                                                                                              
1003080;KIL;YA        ;C/M KIT 3/4 HINO;;MASTER KOPLING ATAS ;PCS       ;1;150000;295000;;SEIKEN                                                                                              
1003081;TI;YA        ;C/M KIT 13/16'' 6D22 SK 31241;;MASTER KOPLING ATAS ;PCS       ;1;65000;135000;;SEIKEN                                                                                              
1003082;KLR;YA        ;C/O KIT HINO RENGER 7/8 220-81581;;KOPLING BAWAH       ;PCS       ;1;103000;150000;;SEIKEN                                                                                              
1003083;DR;YA        ;C/O KIT DUTRO 3/4 220-43375;;KOPLING BAWAH       ;PCS       ;1;42500;95000;;SEIKEN                                                                                              
1003084;UI;YA;MASTER KOPLING C/O;;MASTER KOPLING BAWAH;PCS;1;25000;75000;;SEIKEN
1003085;IL;YA        ;"C/O KIT 7/8"" CUMPLUNG 220-30731";;MASTER KOPLING BAWAH;PCS       ;1;50000;95000;;SEIKEN                                                                                              
1003086;DA;YA        ;C/O KIT NKR 55 EURO 2 B-IKO-S08;;MASTER KOPLING BAWAH;PCS       ;1;49000;115000;;BIRKENS                                                                                             
1003087;RG;YA        ;C/M KIT PANTHER 5/8 ER-6119;;MASTER KOPLING ATAS ;PCS       ;1;38000;95000;;GUINE PARTS                                                                                         
1003088;EI;YA;210-1899 KOPLING C/M KIT 3/4'';;MASTER KOPLING ATAS;PCS;1;75000;150000;;SEIKEN
1003089;RE;YA        ;C/O KIT KIJANG PANTHER 220-40582;;MASTER KOPLING BAWAH;PCS       ;1;37000;95000;;SEIKEN                                                                                              
1003090;TR;YA        ;C/O KIT FUSO 220-31781;;KOPLING BAWAH       ;PCS       ;1;63000;125000;;SEIKEN                                                                                              
1003091;IK;YA        ;C/O KIT NHR 55 5-87831402-0;;KOPLING BAWAH       ;PCS       ;1;51000;95000;;ISUZU                                                                                               
1003092;DI;YA        ;C/O NHR 55 1/16 220-82691 1;;MASTER KOPLING BAWAH;PCS       ;1;45000;125000;;SAIKEN                                                                                              
1003093;UD;YA        ;C/O KIT PS 100 5/8 ME601292;;MASTER KOPLING BAWAH;PCS       ;1;24000;65000;;UTM                                                                                                 
1003094;DG;YA        ;C/O KIT CANTER 125 7/8 ME 615132;;MASTER KOPLING BAWAH;PCS       ;1;47500;95000;;UTM                                                                                                 
1003095;KUL;YA        ;C/O KIT RAGASA 7/8 220-32182;;MASTER KOPLING BAWAH;PCS       ;1;120000;195000;;SEIKEN                                                                                              
1003096;A;YA;SEAL REM 010-80353;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003098;A;YA;SEAL REM 010-30763;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003099;KL;YA        ;SEAL REM 010-30253;;SEAL REM            ;PCS       ;1;9750;20000;;SEIKEN                                                                                              
1003100;A;YA;SEAL REM SC-30263 11/8;;SEAL REM ;PCS;1;9000;20000;;BIRKENS
1003101;G;YA;SEAL REM B-JP-30263R;;SEAL REM ;PCS;1;8000;15000;;SEIKEN
1003102;UL;YA;SEAL KOPLING C/O CO-NKR66/71;;SEAL KOPLING ;PCS;1;20000;65000;;SEIKEN
1003103;UL;YA;SEAL KOPLING C/M cm-87831403;;SEAL KOPLING ;PCS;1;20000;65000;;SEIKEN
1003104;KU;YA;SEAL KOPLING C/M CM-NKR66/71 ;;SEAL KOPLING ;PCS;1;12000;65000;;SEIKEN
1003105;KU;YA;SEAL KOPLING C/O CO-PS100;;SEAL KOPLING ;PCS;1;12000;65000;;SEIKEN
1003106;UU;YA;SEAL KOPLING C/O CO-615132;;SEAL KOPLING ;PCS;1;22000;45000;;SEIKEN
1003107;UI;YA;SEAL KOPLING C/M CM-043537-2;;SEAL KOPLING ;PCS;1;25000;50000;;SEIKEN
1003108;A;YA;SEAL REM 010-30263;;SEAL REM ;PCS;1;8500;20000;;SEIKEN
1003109;G;YA;SEAL REM MC-119557;;SEAL REM ;PCS;1;8000;15000;;TAYKIUN
1003110;KI;YA;SEAL REM SC-80163R-1;;SEAL REM ;PCS;1;15000;35000;;SEIKEN
1003111;KI;YA;SEAL REM 010-50433;;SEAL REM ;PCS;1;15000;35000;;SEIKEN
1003113;KU;YA;SEAL REM 010-80133;;SEAL REM ;PCS;1;12000;25000;;SEIKEN
1003114;G;YA;SEAL KOPLING 010-00211 FUSO;;SEAL KOPLING FUSO BA;PCS;1;8000;15000;;SEIKEN
1003115;A;YA;SEAL REM B-JP-8013R;;SEAL REM ;PCS;1;9000;20000;;BIRKENS
1003116;KU;YA;SEAL REM B-JP-80207R;;SEAL REM ;PCS;1;12000;25000;;BIRKENS
1003117;KI;YA;SEAL REM 010-80206;;SEAL REM ;PCS;1;15000;30000;;SEIKEN
1003118;KI;YA;SEAL REM 010-80207;;SEAL REM ;PCS;1;15000;30000;;SEIKEN
1003119;KI;YA;SEAL REM 010-80209;;SEAL REM ;PCS;1;15000;30000;;SEIKEN
1003120;UU;YA;SEAL REM 010-51014;;SEAL REM ;PCS;1;17500;45000;;SEIKEN
1003121;UU;YA;SEAL REM SC.80893;;SEAL REM ;PCS;1;22000;45000;;SEIKEN
1003122;KI;YA;SEAL REM 010-81043;;SEAL REM ;PCS;1;15000;30000;;SEIKEN
1003123;A;YA;SEAL REM 010-30233;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003124;A;YA;SEAL REM SD962;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003125;G;YA;SEAL REM 013-01500;;SEAL REM ;PCS;1;8000;15000;;SEIKEN
1003126;KU;YA;SEAL REM 010-50283;;SEAL REM ;PCS;1;12000;25000;;SEIKEN
1003128;G;YA;SEAL REM 010-51094;;SEAL REM ;PCS;1;8000;15000;;SEIKEN
1003129;I;YA;SEAL ABU PS/CANTER ;;SEAL ABU;PCS;1;5000;10000;;MITSHUBISI
1003130;G;YA;SEAL REM 47575;;SEAL REM ;PCS;1;8000;15000;;SEIKEN
1003131;A;YA;SEAL REM 013-30023;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003132;KU;YA;SEAL REM 010-50123;;SEAL REM ;PCS;1;12000;25000;;SEIKEN
1003133;A;YA;SEAL REM 010-47593;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003134;G;YA;SEAL ABUPS100/PS120;;SEAL ABU;PCS;1;2000;15000;;SEIKEN
1003135;G;YA;SEAL ABU NISSAN ;;SEAL ABU;PCS;1;8000;15000;;SEIKEN
1003137;A;YA;SEAL REM 010-30233;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003138;A;YA;SEAL REM 013-30023;;SEAL REM ;PCS;1;9000;20000;;SEIKEN
1003139;KDD;YA;RUMAH POMPA SOLAR 23105-608HO;;DUDUKAN POMPA SOLAR;PCS;1;144000;275000;;WAKASA 
1003140;KRI;YA;POMPA SOLAR MB129677;;DUDUKAN POMPA SOLAR;PCS;1;135000;275000;;UTM
1003141;UUI;YA;POMPA SOLAR 5-13220220-6;;DUDUKAN POMPA SOLAR;PCS;1;225000;450000;;STECKER
1003142;EA;YA;POMPA SOLAR 08130-60931;;DUDUKAN POMPA SOLAR;PCS;1;79000;165000;;WAKASA 
1003143;EG;YA;POMPA SOLAR 08130-60930;;DUDUKAN POMPA SOLAR;PCS;1;78000;150000;;WAKASA 
1003144;AD;YA;POMPA SOLAR 02415-60430;;DUDUKAN POMPA SOLAR;PCS;1;94000;145000;;WAKASA 
1003145;KGL;YA        ;POMPA SOLAR 13-30664700-A;;DUDUKAN POMPA SOLAR ;PCS       ;1;180000;325000;;IZUZU                                                                                               
1003146;KKL;YA;DUDUKAN POMPA SOLAR 23310-1660;;DUDUKAN POMPA SOLAR;PCS;1;110000;225000;;UTM
1003147;UIR;YA;POMPA SOLAR 18-98319911-A;;DUDUKAN POMPA SOLAR;PCS;1;253000;385000;;IZUZU
