"id","name_id","name_en","brand","sku","price","img","badge","vehicles","compat_id","compat_en"
"1003090","C/O KIT FUSO 220-31781","C/O KIT FUSO 220-31781","SEIKEN","1003090","125000","","aftermarket","","",""
"1003091","C/O KIT NHR 55 5-87831402-0","C/O KIT NHR 55 5-87831402-0","ISUZU","1003091","95000","","original","","",""
"1003092","C/O NHR 55 1/16 220-82691 1","C/O NHR 55 1/16 220-82691 1","SAIKEN","1003092","125000","","aftermarket","","",""
"1003093","C/O KIT PS 100 5/8 ME601292","C/O KIT PS 100 5/8 ME601292","UTM","1003093","65000","","aftermarket","","",""
"1003094","C/O KIT CANTER 125 7/8 ME 615132","C/O KIT CANTER 125 7/8 ME 615132","UTM","1003094","95000","","aftermarket","","",""
"1003095","C/O KIT RAGASA 7/8 220-32182","C/O KIT RAGASA 7/8 220-32182","SEIKEN","1003095","195000","","aftermarket","","",""
"1003096","SEAL REM 010-80353","SEAL REM 010-80353","SEIKEN","1003096","20000","","aftermarket","","",""
"1003098","SEAL REM 010-30763","SEAL REM 010-30763","SEIKEN","1003098","20000","","aftermarket","","",""
"1003099","SEAL REM 010-30253","SEAL REM 010-30253","SEIKEN","1003099","20000","","aftermarket","","",""
"1003100","SEAL REM SC-30263 11/8","SEAL REM SC-30263 11/8","BIRKENS","1003100","20000","","aftermarket","","",""
"1003101","SEAL REM B-JP-30263R","SEAL REM B-JP-30263R","SEIKEN","1003101","15000","","aftermarket","","",""
"1003102","SEAL KOPLING C/O CO-NKR66/71","SEAL KOPLING C/O CO-NKR66/71","SEIKEN","1003102","65000","","aftermarket","","",""
"1003103","SEAL KOPLING C/M cm-87831403","SEAL KOPLING C/M cm-87831403","SEIKEN","1003103","65000","","aftermarket","","",""
"1003104","SEAL KOPLING C/M CM-NKR66/71 ","SEAL KOPLING C/M CM-NKR66/71 ","SEIKEN","1003104","65000","","aftermarket","","",""
"1003105","SEAL KOPLING C/O CO-PS100","SEAL KOPLING C/O CO-PS100","SEIKEN","1003105","65000","","aftermarket","","",""
"1003106","SEAL KOPLING C/O CO-615132","SEAL KOPLING C/O CO-615132","SEIKEN","1003106","45000","","aftermarket","","",""
"1003107","SEAL KOPLING C/M CM-043537-2","SEAL KOPLING C/M CM-043537-2","SEIKEN","1003107","50000","","aftermarket","","",""
"1003108","SEAL REM 010-30263","SEAL REM 010-30263","SEIKEN","1003108","20000","","aftermarket","","",""
"1003109","SEAL REM MC-119557","SEAL REM MC-119557","TAYKIUN","1003109","15000","","aftermarket","","",""
"1003110","SEAL REM SC-80163R-1","SEAL REM SC-80163R-1","SEIKEN","1003110","35000","","aftermarket","","",""
"1003111","SEAL REM 010-50433","SEAL REM 010-50433","SEIKEN","1003111","35000","","aftermarket","","",""
"1003113","SEAL REM 010-80133","SEAL REM 010-80133","SEIKEN","1003113","25000","","aftermarket","","",""
"1003114","SEAL KOPLING 010-00211 FUSO","SEAL KOPLING 010-00211 FUSO","SEIKEN","1003114","15000","","aftermarket","","",""
"1003115","SEAL REM B-JP-8013R","SEAL REM B-JP-8013R","BIRKENS","1003115","20000","","aftermarket","","",""
"1003116","SEAL REM B-JP-80207R","SEAL REM B-JP-80207R","BIRKENS","1003116","25000","","aftermarket","","",""
"1003117","SEAL REM 010-80206","SEAL REM 010-80206","SEIKEN","1003117","30000","","aftermarket","","",""
"1003118","SEAL REM 010-80207","SEAL REM 010-80207","SEIKEN","1003118","30000","","aftermarket","","",""
"1003119","SEAL REM 010-80209","SEAL REM 010-80209","SEIKEN","1003119","30000","","aftermarket","","",""
"1003120","SEAL REM 010-51014","SEAL REM 010-51014","SEIKEN","1003120","45000","","aftermarket","","",""
"1003121","SEAL REM SC.80893","SEAL REM SC.80893","SEIKEN","1003121","45000","","aftermarket","","",""
"1003122","SEAL REM 010-81043","SEAL REM 010-81043","SEIKEN","1003122","30000","","aftermarket","","",""
"1003123","SEAL REM 010-30233","SEAL REM 010-30233","SEIKEN","1003123","20000","","aftermarket","","",""
"1003124","SEAL REM SD962","SEAL REM SD962","SEIKEN","1003124","20000","","aftermarket","","",""
"1003125","SEAL REM 013-01500","SEAL REM 013-01500","SEIKEN","1003125","15000","","aftermarket","","",""
"1003126","SEAL REM 010-50283","SEAL REM 010-50283","SEIKEN","1003126","25000","","aftermarket","","",""
"1003128","SEAL REM 010-51094","SEAL REM 010-51094","SEIKEN","1003128","15000","","aftermarket","","",""
"1003129","SEAL ABU PS/CANTER ","SEAL ABU PS/CANTER ","MITSHUBISI","1003129","10000","","aftermarket","","",""
